leg_id,full_name,first_name,last_name,chamber,district,party,transparencydata_id,total_received,photo_url
NCL000285,Yvonne Lewis Holley,Yvonne Lewis,Holley,lower,38,Democratic,http://influenceexplorer.com/politician/id/fb4175bed4d6405ab45ccbed0eae48df,,http://www.ncga.state.nc.us/House/pictures/hiRes/650.jpg
NCL000301,Michael Speciale,Michael,Speciale,lower,3,Republican,http://influenceexplorer.com/politician/id/fb7dfe0a902b4dfa8cb3cc03752eb0ba,,http://www.ncga.state.nc.us/House/pictures/hiRes/671.jpg
NCL000186,Kathy Harrington,Kathy,Harrington,upper,43,Republican,http://influenceexplorer.com/politician/id/fb8bda76ceb94bf780ff3d766ea9773a,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/283.jpg
NCL000272,Dana Bumgardner,Dana,Bumgardner,lower,109,Republican,http://influenceexplorer.com/politician/id/fc2dd712b8af4a859173317942c40400,,http://www.ncga.state.nc.us/House/pictures/hiRes/659.jpg
NCL000149,Shirley B Randleman,Shirley,Randleman,upper,30,Republican,http://influenceexplorer.com/politician/id/ff5709fc306f426ba64ec3d79b3c8d83,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/374.jpg
NCL000328,Larry Yarborough,Larry,Yarborough,lower,2,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/694.jpg
NCL000335,Erica Smith-Ingram,Erica,Smith-Ingram,upper,3,Democratic,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/391.jpg
NCL000342,"Howard J. Hunter, III",Howard J.,Hunter,lower,5,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/692.jpg
NCL000312,Bobbie Richardson,Bobbie,Richardson,lower,7,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/680.jpg
NCL000324,Michael V. Lee,Michael V.,Lee,upper,9,Republican,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/387.jpg
NCL000267,"John R. Bell, IV",John R.,Bell,lower,10,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/661.jpg
NCL000337,Jane W. Smith,Jane W.,Smith,upper,13,Democratic,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/390.jpg
NCL000346,"John M. Alexander, Jr.",John M.,Alexander,upper,15,Republican,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/392.jpg
NCL000292,Chris Millis,Chris,Millis,lower,16,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/639.jpg
NCL000264,Mike Woodard,Mike,Woodard,upper,22,Democratic,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/379.jpg
NCL000344,Shelly Willingham,Shelly,Willingham,lower,23,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/700.jpg
NCL000329,Tom McInnis,Tom,McInnis,upper,25,Republican,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/389.jpg
NCL000246,Joyce Krawiec,Joyce,Krawiec,upper,31,Republican,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/384.jpg
NCL000349,"Paul A. Lowe, Jr.",Paul A.,Lowe,upper,32,Democratic,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/394.jpg
NCL000289,Chris Malone,Chris,Malone,lower,35,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/648.jpg
NCL000322,Jeff Jackson,Jeff,Jackson,upper,37,Democratic,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/386.jpg
NCL000330,Joyce Waddell,Joyce,Waddell,upper,40,Democratic,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/393.jpg
NCL000341,Gale Adcock,Gale,Adcock,lower,41,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/688.jpg
NCL000262,Jeff Tarte,Jeff,Tarte,upper,41,Republican,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/376.jpg
NCL000336,Andy Wells,Andy,Wells,upper,42,Republican,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/388.jpg
NCL000323,Gary Pendleton,Gary,Pendleton,lower,49,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/685.jpg
NCL000321,Terry Van Duyn,Terry,Van Duyn,upper,49,Democratic,,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/385.jpg
NCL000317,Graig R. Meyer,Graig R.,Meyer,lower,50,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/683.jpg
NCL000340,Brad Salmon,Brad,Salmon,lower,51,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/693.jpg
NCL000320,"Robert T. Reives, II",Robert T.,Reives,lower,54,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/684.jpg
NCL000327,Ralph C. Johnson,Ralph C.,Johnson,lower,58,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/699.jpg
NCL000339,Cecil Brockman,Cecil,Brockman,lower,60,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/691.jpg
NCL000298,Stephen M. Ross,Stephen M.,Ross,lower,63,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/664.jpg
NCL000296,Dennis Riddell,Dennis,Riddell,lower,64,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/665.jpg
NCL000304,Evelyn Terry,Evelyn,Terry,lower,71,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/676.jpg
NCL000345,Lee Zachary,Lee,Zachary,lower,73,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/695.jpg
NCL000288,Donny Lambeth,Donny,Lambeth,lower,75,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/646.jpg
NCL000334,Sam Watford,Sam,Watford,lower,80,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/687.jpg
NCL000313,Josh Dobson,Josh,Dobson,lower,85,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/681.jpg
NCL000348,George S. Robinson,George S.,Robinson,lower,87,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/701.jpg
NCL000271,Rob Bryan,Rob,Bryan,lower,88,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/678.jpg
NCL000333,John A. Fraley,John A.,Fraley,lower,95,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/686.jpg
NCL000338,Jay Adams,Jay,Adams,lower,96,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/697.jpg
NCL000331,"John R. Bradford, III",John R.,Bradford,lower,98,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/690.jpg
NCL000343,Dan Bishop,Dan,Bishop,lower,104,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/698.jpg
NCL000299,Jacqueline Michelle Schaffer,Jacqueline Michelle,Schaffer,lower,105,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/647.jpg
NCL000332,John Ager,John,Ager,lower,115,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/689.jpg
NCL000347,Brian Turner,Brian,Turner,lower,116,Democratic,,,http://www.ncga.state.nc.us/House/pictures/hiRes/696.jpg
NCL000293,Michele D. Presnell,Michele D.,Presnell,lower,118,Republican,,,http://www.ncga.state.nc.us/House/pictures/hiRes/670.jpg
